review_text,review_stars,title
The book I ordered arrived very quickly and in great condition. I would order from them again.,5.0 out of 5 stars,Getting Started with Natural Language Processing
"I got this today and have not really started to read it. The content looks good and the writing seem clear and well constructed. ( After all, this is a book about natural language. )However, the print quality is low. Only some subject heading are in black. It seems like 98% of the text is in various shades of grey. The coding examples are in light grey. It used to be okay to simply mark coding examples with a different font. This publisher seems to think making the coding examples harder to read is some desirable objective.Maybe the publisher is saving money on ink.",3.0 out of 5 stars,Getting Started with Natural Language Processing
"Typically, NLP textbooks are dense and mathematical. On the other hand are the more practical ones, which give a broad, end to end perspective on how to perform various tasks. In this book, we see a task wise split of chapters, but they are also designed in a more introductory manner, giving detailed conceptual understanding along with some hands on practice.  Author profiling as one of the tasks is perhaps unique to this NLP book.",4.0 out of 5 stars,Getting Started with Natural Language Processing
"Admittedly, I thought the book would be a bit over my head when I started.  And the hand holding thru important concepts quickly opened my eyes to concepts not only in natural language processing but in the underlying concepts such as geometry.I am a certified geek and am not sorry to admit that i go back to the book at night re-reading and suddenly have an 'aha-now i finally get it' moment.  The way how concepts are explained really suits my learning style.",5.0 out of 5 stars,Getting Started with Natural Language Processing
"I've studied this book as I was a Manning Beta Tester.  Prof Ekaterina Kochmar  has explained all the concepts of NLP nicely with the help of examples in each chapter.These examples are very practical i.e. Spam and Ham classification, Sentimental Analysis, Topic Analysis etc.Also, related machine learning concepts are explained in a detailed manner with the help of Scikit-learn.It is a must read for any Natural Language Practitioner.",5.0 out of 5 stars,Getting Started with Natural Language Processing
Seldom do I come across a book that conveys most all needed (and anticipated) information in an easy to understand way. An extremely valuable book. This author is good.,5.0 out of 5 stars,"Python Tools for Scientists: An Introduction to Using Anaconda, JupyterLab, and Python's Scientific Libraries"
"I feel terrible about taking so long for this. I got a free copy from Goodreads and I am under no obligation but am really interested in learning about topics like this. This book is really well written and logically organized, so anyone wanting to learn about Python can jump in from any level and learn about different topics.I'm still going through it and I hope I learn a lot more. Any time I might wonder about something, there is always a helpful illustration.",5.0 out of 5 stars,"Python Tools for Scientists: An Introduction to Using Anaconda, JupyterLab, and Python's Scientific Libraries"
"As the title indicates, the book is targeted toward people wanting to get an entry point in the Python world for scientific or research work.  Those people should find this book to be very helpful.  If you are wanting a deep dive into the Python language, there are better resources.  Having said that, I have experience with using Python and there were some parts of the book that were still useful to me.The opening section about setting up the Python development environment was very detailed and seemed to drag a bit, but I suppose that detail is good and possibly necessary for someone just starting out.  I think some chapters should be read through (setting up the environment, Python language basics) while others are better served as being reference material (scientific libraries).  All in all, this book could be a useful resource for many people.",4.0 out of 5 stars,"Python Tools for Scientists: An Introduction to Using Anaconda, JupyterLab, and Python's Scientific Libraries"
This is a useful book. It includes 2 chapters on visualization libraries with charts to help you select the best ones for you.,5.0 out of 5 stars,"Python Tools for Scientists: An Introduction to Using Anaconda, JupyterLab, and Python's Scientific Libraries"
ok,5.0 out of 5 stars,"Python Tools for Scientists: An Introduction to Using Anaconda, JupyterLab, and Python's Scientific Libraries"
Gran libro para iniciar el aprendizaje de SQL con posgres,5.0 out of 5 stars,"Practical SQL, 2nd Edition: A Beginner's Guide to Storytelling with Data"
